Date,Open,High,Low,Close,Volume
03-10-2011,16255.96973,16255.96973,16056.33008,16151.4502,17000
04-10-2011,16081.76953,16202.37988,15745.42969,15864.86035,19600
05-10-2011,15967.71973,16044.91016,15760.53027,15792.41016,18800
07-10-2011,16222.49023,16347.48047,16148.96973,16232.54004,16800
10-10-2011,16270.07031,16595.92969,16230.76953,16557.23047,17200
11-10-2011,16668.15039,16774.11914,16510.71094,16536.4707,20000
12-10-2011,16660.42969,16987.06055,16608.57031,16958.39063,21200
13-10-2011,17048,17084.07031,16854.0293,16883.91992,18000
14-10-2011,16836.83008,17112.44922,16828.44922,17082.68945,15400
17-10-2011,17176.05078,17188.55078,16928.38086,17025.08984,18400
18-10-2011,16817.38086,16824.75977,16669.03906,16748.28906,14000
19-10-2011,16883.35938,17106.99023,16874.33984,17085.33984,11400
20-10-2011,16911.84961,16962.06055,16744.99023,16936.89063,12000
21-10-2011,16975.78906,17032.32031,16752.21094,16785.64063,13800
24-10-2011,17011.06055,17104.88086,16898.59961,16939.2793,12600
25-10-2011,17012.78906,17322.13086,16900.25977,17254.85938,17600
28-10-2011,17671.85938,17908.13086,17671.85938,17804.80078,23800
31-10-2011,17806.21094,17813.10938,17668.26953,17705.00977,15800
01-11-2011,17540.55078,17661.7793,17422.4707,17480.83008,17600
02-11-2011,17347.69922,17615.91992,17337.65039,17464.84961,15400
03-11-2011,17430.68945,17527.09961,17278.0293,17481.92969,17000
04-11-2011,17674.69922,17702.25977,17474.39063,17562.60938,18400
08-11-2011,17593.66992,17632.23047,17455.2207,17569.5293,11000
09-11-2011,17641.98047,17658.33984,17331.23047,17362.09961,15000
11-11-2011,17187.89063,17279.23047,17096.83984,17192.82031,18200
14-11-2011,17348.51953,17391.99023,17094.42969,17118.74023,15000
15-11-2011,17081.61914,17172.08984,16837.56055,16882.66992,18000
16-11-2011,16872.30078,16878.30078,16641.65039,16775.86914,19600
17-11-2011,16754.67969,16807.15039,16408.5,16461.71094,17000
18-11-2011,16387.69922,16396.68945,16164.99023,16371.50977,21600
21-11-2011,16297.03027,16297.03027,15900.29981,15946.09961,21400
22-11-2011,15995.69043,16212.9502,15970.11035,16065.41992,19400
23-11-2011,15969.59961,15969.59961,15478.69043,15699.96973,17400
24-11-2011,15715.80957,15901.29981,15479.96973,15858.49023,18600
25-11-2011,15781.25,15891.04981,15645.78027,15695.42969,19200
28-11-2011,15890.79981,16186.67969,15888.28027,16167.12988,20200
29-11-2011,16210.37012,16210.37012,15952.54004,16008.33984,14800
30-11-2011,15868.95996,16179.55957,15849.57031,16123.45996,16800
01-12-2011,16555.92969,16718.10938,16430.60938,16483.44922,19800
02-12-2011,16493.98047,16888.83984,16428.66016,16846.83008,28600
05-12-2011,16812.30078,16863.09961,16691.21094,16805.33008,13400
07-12-2011,16830.03906,17003.71094,16781.61914,16877.06055,14000
08-12-2011,16819.74023,16847.82031,16421.55078,16488.24023,16000
09-12-2011,16258.44043,16382.57031,16142.32031,16213.45996,18400
12-12-2011,16354.95996,16360.32031,15839.95996,15870.34961,21200
13-12-2011,15778.62012,16079.37988,15771.58984,16002.50977,23600
14-12-2011,15963.75,16133.41016,15855.12012,15881.13965,19000
15-12-2011,15739.04981,15908.01953,15596.21973,15836.46973,19800
16-12-2011,15868.78027,16068.90039,15425.2002,15491.34961,20400
19-12-2011,15440.09961,15440.09961,15190.74023,15379.33984,18000
20-12-2011,15436.12012,15448.12988,15135.86035,15175.08008,20800
21-12-2011,15487.75,15727.30957,15377.04004,15685.20996,22000
22-12-2011,15546.66016,15834.62988,15472.7002,15813.36035,18800
